driver_id/$oid;lat;lng;timestamp/$date
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T12:00:20.606Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T12:01:38.288Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T12:02:38.413Z
58eb8d8b9c0e7a0011a25327;-6,4773712;106,7267453;2017-04-10T12:03:10.695Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:03:20.837Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:04:39.288Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:05:49.330Z
58eb8d8b9c0e7a0011a25327;-6,3773413;106,8267334;2017-04-10T13:07:00.585Z
58eb8d8b9c0e7a0011a25327;-6,2286343;106,915714;2017-04-10T13:10:07.474Z
58eb8d8b9c0e7a0011a25327;-6,2286343;106,915714;2017-04-10T13:11:07.803Z
58eb8d8b9c0e7a0011a25327;-6,2288336;106,9153865;2017-04-10T13:12:08.490Z
58eb8d8b9c0e7a0011a25327;-6,377497;106,8266877;2017-04-10T13:12:33.097Z
58eb8d8b9c0e7a0011a25327;-6,2288336;106,9153865;2017-04-10T13:13:08.903Z
58eb8d8b9c0e7a0011a25327;-6,377497;106,8266877;2017-04-10T13:13:54.705Z
58eb8d8b9c0e7a0011a25327;-6,377497;106,8266877;2017-04-10T13:15:32.438Z
58eb8d8b9c0e7a0011a25327;-6,3779132;106,8292684;2017-04-10T13:16:33.443Z
58eb8d8b9c0e7a0011a25327;-6,3779132;106,8292684;2017-04-10T13:17:41.055Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:18:54.582Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:20:01.806Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:21:02.563Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:26:54.945Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:28:11.732Z
58eb8d999c0e7a0011a25328;-6,2184733;106,9454063;2017-04-10T13:28:54.153Z
58eb8d8b9c0e7a0011a25327;-6,3773712;106,8267453;2017-04-10T13:29:12.749Z
58eb8d999c0e7a0011a25328;-6,2186682;106,9455447;2017-04-10T13:29:53.155Z
58eb8d8b9c0e7a0011a25327;-6,3773413;106,8267334;2017-04-10T13:30:35.347Z
58eb8d999c0e7a0011a25328;-6,2186436;106,9454117;2017-04-10T13:30:54.201Z
58eb8d8b9c0e7a0011a25327;-6,3773413;106,8267334;2017-04-10T13:31:36.042Z
58eb8d999c0e7a0011a25328;-6,2186436;106,9454117;2017-04-10T13:31:53.106Z
58eb8d8b9c0e7a0011a25327;-6,3773413;106,8267334;2017-04-10T13:32:41.205Z
58eb8d999c0e7a0011a25328;-6,218813;106,9468968;2017-04-10T13:32:54.147Z
